Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Segment,Cluster,Cluster_Label
12346,326,12,522.62,2,5,2,3.05,252,Need Attention,1,Loyal Customers
12347,2,8,4822.65,5,4,5,4.65,545,Champions,2,At Risk
12348,75,5,1793.9499999999998,3,4,4,3.7,344,Loyal Customers,1,Loyal Customers
12349,19,4,3612.54,5,3,5,4.3,535,Loyal Customers,3,Lost / Inactive
12350,310,1,309.35,2,1,2,1.65,212,Hibernating,0,VIP Customers
12351,375,1,300.93,2,1,2,1.65,212,Hibernating,0,VIP Customers
12352,36,10,1879.04,4,5,4,4.35,454,Champions,2,At Risk
12353,204,2,406.76,2,2,2,2.0,222,Need Attention,0,VIP Customers
12354,232,1,1073.4,2,1,3,2.0,213,Hibernating,0,VIP Customers
12355,214,2,947.61,2,2,3,2.35,223,Need Attention,1,Loyal Customers
12356,23,6,6209.7300000000005,4,4,5,4.35,445,Champions,2,At Risk
12357,33,3,17442.56,4,3,5,4.0,435,Loyal Customers,2,At Risk
12358,2,5,3611.52,5,4,5,4.65,545,Champions,2,At Risk
12359,58,10,7581.81,4,5,5,4.7,455,Champions,2,At Risk
12360,52,8,3860.49,4,4,5,4.35,445,Champions,2,At Risk
12361,287,4,511.05,2,3,2,2.35,232,Need Attention,1,Loyal Customers
12362,3,11,5191.78,5,5,5,5.0,555,Champions,2,At Risk
12363,110,2,552.0,3,2,2,2.3,322,Potential Loyalists,0,VIP Customers
12364,8,4,1299.79,5,3,4,3.95,534,Loyal Customers,3,Lost / Inactive
12365,291,2,335.64,2,2,2,2.0,222,Need Attention,0,VIP Customers
12366,634,1,500.24,1,1,2,1.35,112,Lost,0,VIP Customers
12367,4,1,170.65,5,1,1,2.2,511,Recent Customers,3,Lost / Inactive
12368,628,1,917.7,1,1,3,1.6999999999999995,113,Hibernating,0,VIP Customers
12369,413,3,1615.8,1,3,4,2.75,134,At Risk,1,Loyal Customers
12370,51,7,4053.67,4,4,5,4.35,445,Champions,2,At Risk
12371,45,5,3616.48,4,4,5,4.35,445,Champions,1,Loyal Customers
12372,72,3,1285.74,3,3,4,3.35,334,Loyal Customers,1,Loyal Customers
12373,311,3,1002.4,2,3,3,2.7,233,At Risk,1,Loyal Customers
12374,25,4,2784.82,4,3,4,3.65,434,Loyal Customers,3,Lost / Inactive
12375,11,2,407.4,5,2,2,2.9000000000000004,522,Recent Customers,3,Lost / Inactive
12376,390,2,428.0,2,2,2,2.0,222,Need Attention,0,VIP Customers
12377,315,4,3320.04,2,3,5,3.4,235,At Risk,1,Loyal Customers
12378,130,2,5328.6,3,2,5,3.35,325,Potential Loyalists,1,Loyal Customers
12379,82,4,1619.72,3,3,4,3.35,334,Loyal Customers,1,Loyal Customers
12380,22,11,7643.6,4,5,5,4.7,455,Champions,2,At Risk
12381,5,5,1619.86,5,4,4,4.3,544,Champions,3,Lost / Inactive
12383,185,5,1854.86,3,4,4,3.7,344,Loyal Customers,1,Loyal Customers
12384,29,2,485.07,4,2,2,2.6,422,Recent Customers,3,Lost / Inactive
12385,379,1,1937.5,2,1,4,2.35,214,Hibernating,1,Loyal Customers
12386,338,2,401.9,2,2,2,2.0,222,Need Attention,0,VIP Customers
12387,415,1,139.94,1,1,1,1.0,111,Lost,0,VIP Customers
12388,16,8,3910.71,5,4,5,4.65,545,Champions,2,At Risk
12389,403,3,1433.33,2,3,4,3.05,234,At Risk,1,Loyal Customers
12390,80,1,545.69,3,1,2,1.95,312,Hibernating,0,VIP Customers
12391,22,6,2549.4,4,4,4,4.0,444,Champions,2,At Risk
12392,591,1,234.75000000000003,1,1,1,1.0,111,Lost,0,VIP Customers
12393,72,6,2399.45,3,4,4,3.7,344,Loyal Customers,1,Loyal Customers
12394,64,2,1047.81,3,2,3,2.6499999999999995,323,Potential Loyalists,3,Lost / Inactive
12395,19,15,4669.47,5,5,5,5.0,555,Champions,2,At Risk
12396,674,1,931.43,1,1,3,1.6999999999999995,113,Hibernating,0,VIP Customers
12397,36,2,2395.25,4,2,4,3.3,424,Recent Customers,3,Lost / Inactive
12398,46,1,1510.41,4,1,4,2.95,414,Recent Customers,3,Lost / Inactive
12399,119,7,1965.5,3,4,4,3.7,344,Loyal Customers,1,Loyal Customers
12400,414,1,205.25,1,1,1,1.0,111,Lost,0,VIP Customers
12401,303,1,84.25,2,1,1,1.2999999999999998,211,Hibernating,0,VIP Customers
12402,323,6,1256.5,2,4,4,3.4,244,At Risk,1,Loyal Customers
