Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Segment
12346,326,12,522.62,2,5,2,3.05,252,Need Attention
12347,2,8,4822.65,5,4,5,4.65,545,Champions
12348,75,5,1793.9499999999998,3,4,4,3.6999999999999997,344,Loyal Customers
12349,19,4,3612.54,5,3,5,4.3,535,Loyal Customers
12350,310,1,309.35,2,1,2,1.65,212,Hibernating
12351,375,1,300.93,2,1,2,1.65,212,Hibernating
12352,36,10,1879.04,4,5,4,4.35,454,Champions
12353,204,2,406.76,2,2,2,1.9999999999999998,222,Need Attention
12354,232,1,1073.4,2,1,3,1.9999999999999998,213,Hibernating
12355,214,2,947.61,2,2,3,2.3499999999999996,223,Need Attention
12356,23,6,6209.7300000000005,4,4,5,4.35,445,Champions
12357,33,3,17442.56,4,3,5,4.0,435,Loyal Customers
12358,2,5,3611.52,5,4,5,4.65,545,Champions
12359,58,10,7581.81,4,5,5,4.7,455,Champions
12360,52,8,3860.49,4,4,5,4.35,445,Champions
12361,287,4,511.05,2,3,2,2.3499999999999996,232,Need Attention
12362,3,11,5191.78,5,5,5,5.0,555,Champions
12363,110,2,552.0,3,2,2,2.3,322,Potential Loyalists
12364,8,4,1299.79,5,3,4,3.9499999999999997,534,Loyal Customers
12365,291,2,335.64,2,2,2,1.9999999999999998,222,Need Attention
12366,634,1,500.24,1,1,2,1.3499999999999999,112,Lost
12367,4,1,170.65,5,1,1,2.2,511,Recent Customers
12368,628,1,917.7,1,1,3,1.6999999999999997,113,Hibernating
12369,413,3,1615.8,1,3,4,2.75,134,At Risk
12370,51,7,4053.67,4,4,5,4.35,445,Champions
12371,45,5,3616.48,4,4,5,4.35,445,Champions
12372,72,3,1285.74,3,3,4,3.3499999999999996,334,Loyal Customers
12373,311,3,1002.4,2,3,3,2.6999999999999997,233,At Risk
12374,25,4,2784.82,4,3,4,3.65,434,Loyal Customers
12375,11,2,407.40000000000003,5,2,2,2.9000000000000004,522,Recent Customers
12376,390,2,428.0,2,2,2,1.9999999999999998,222,Need Attention
12377,315,4,3320.04,2,3,5,3.4,235,At Risk
12378,130,2,5328.6,3,2,5,3.3499999999999996,325,Potential Loyalists
12379,82,4,1619.72,3,3,4,3.3499999999999996,334,Loyal Customers
12380,22,11,7643.6,4,5,5,4.7,455,Champions
12381,5,5,1619.86,5,4,4,4.3,544,Champions
12383,185,5,1854.86,3,4,4,3.6999999999999997,344,Loyal Customers
12384,29,2,485.07,4,2,2,2.5999999999999996,422,Recent Customers
12385,379,1,1937.5,2,1,4,2.3499999999999996,214,Hibernating
12386,338,2,401.9,2,2,2,1.9999999999999998,222,Need Attention
12387,415,1,139.94,1,1,1,0.9999999999999999,111,Lost
12388,16,8,3910.71,5,4,5,4.65,545,Champions
12389,403,3,1433.33,2,3,4,3.05,234,At Risk
12390,80,1,545.69,3,1,2,1.95,312,Hibernating
12391,22,6,2549.4,4,4,4,3.9999999999999996,444,Champions
12392,591,1,234.75000000000003,1,1,1,0.9999999999999999,111,Lost
12393,72,6,2399.45,3,4,4,3.6999999999999997,344,Loyal Customers
12394,64,2,1047.81,3,2,3,2.6499999999999995,323,Potential Loyalists
12395,19,15,4669.47,5,5,5,5.0,555,Champions
12396,674,1,931.4300000000001,1,1,3,1.6999999999999997,113,Hibernating
12397,36,2,2395.25,4,2,4,3.3,424,Recent Customers
12398,46,1,1510.4099999999999,4,1,4,2.9499999999999997,414,Recent Customers
12399,119,7,1965.5,3,4,4,3.6999999999999997,344,Loyal Customers
12400,414,1,205.25,1,1,1,0.9999999999999999,111,Lost
12401,303,1,84.25,2,1,1,1.2999999999999998,211,Hibernating
12402,323,6,1256.5,2,4,4,3.4,244,At Risk
12403,50,2,1007.1600000000001,4,2,3,2.9499999999999997,423,Recent Customers
12404,682,1,14.95,1,1,1,0.9999999999999999,111,Lost
12405,149,1,1509.99,3,1,4,2.65,314,Hibernating
12406,22,5,6268.84,4,4,5,4.35,445,Champions
12407,50,5,1664.59,4,4,4,3.9999999999999996,444,Champions
12408,33,8,4259.32,4,4,5,4.35,445,Champions
12409,79,7,23277.05,3,4,5,4.05,345,Loyal Customers
12410,309,3,863.41,2,3,3,2.6999999999999997,233,At Risk
12411,410,1,346.9,2,1,2,1.65,212,Hibernating
12412,75,6,2572.98,3,4,4,3.6999999999999997,344,Loyal Customers
12413,67,4,946.1500000000001,3,3,3,2.9999999999999996,333,Loyal Customers
12414,217,6,630.75,2,4,3,3.05,243,At Risk
12415,24,28,123261.71,4,5,5,4.7,455,Champions
12416,657,1,202.56,1,1,1,0.9999999999999999,111,Lost
12417,3,20,6659.36,5,5,5,5.0,555,Champions
12418,113,4,2023.7,3,3,4,3.3499999999999996,334,Loyal Customers
12419,386,2,453.21000000000004,2,2,2,1.9999999999999998,222,Need Attention
12420,64,1,612.71,3,1,3,2.3,313,Hibernating
12421,16,6,992.2,5,4,3,3.9499999999999997,543,Loyal Customers
12422,96,17,3872.78,3,5,5,4.4,355,Loyal Customers
12423,1,10,2611.34,5,5,4,4.65,554,Champions
12424,163,4,3340.0299999999997,3,3,5,3.6999999999999997,335,Loyal Customers
12425,78,2,1745.01,3,2,4,3.0,324,Potential Loyalists
12426,195,2,1323.56,2,2,4,2.6999999999999997,224,Need Attention
12427,22,3,785.73,4,3,3,3.3,433,Loyal Customers
12428,26,9,6815.47,4,5,5,4.7,455,Champions
12429,9,8,6126.46,5,4,5,4.65,545,Champions
12430,43,1,231.35,4,1,1,1.9,411,Recent Customers
12431,36,27,9876.64,4,5,5,4.7,455,Champions
12432,43,5,4194.17,4,4,5,4.35,445,Champions
12433,1,10,16813.86,5,5,5,5.0,555,Champions
12434,85,3,1103.43,3,3,3,2.9999999999999996,333,Loyal Customers
12435,80,6,13118.57,3,4,5,4.05,345,Loyal Customers
12436,100,1,458.90999999999997,3,1,2,1.95,312,Hibernating
12437,2,39,12476.18,5,5,5,5.0,555,Champions
12438,14,2,2645.2200000000003,5,2,4,3.6,524,Recent Customers
12439,683,2,1142.88,1,2,3,2.05,123,Need Attention
12440,462,2,784.05,1,2,3,2.05,123,Need Attention
12441,367,1,170.5,2,1,1,1.2999999999999998,211,Hibernating
12442,3,1,159.01,5,1,1,2.2,511,Recent Customers
12443,732,1,410.15999999999997,1,1,2,1.3499999999999999,112,Lost
12444,21,5,4335.31,4,4,5,4.35,445,Champions
12445,22,2,408.88,4,2,2,2.5999999999999996,422,Recent Customers
12446,58,1,1002.3100000000001,4,1,3,2.5999999999999996,413,Recent Customers
12447,243,1,476.34000000000003,2,1,2,1.65,212,Hibernating
12448,44,1,362.65,4,1,2,2.25,412,Recent Customers
12449,22,6,4800.78,4,4,5,4.35,445,Champions
12450,156,5,688.2,3,4,3,3.3499999999999996,343,Loyal Customers
12451,11,8,12681.39,5,4,5,4.65,545,Champions
12452,17,2,380.47,5,2,2,2.9000000000000004,522,Recent Customers
12453,134,1,707.09,3,1,3,2.3,313,Hibernating
12454,56,5,10457.53,4,4,5,4.35,445,Champions
12455,73,10,5698.4,3,5,5,4.4,355,Loyal Customers
12456,44,3,2807.69,4,3,5,4.0,435,Loyal Customers
12457,66,8,2704.36,3,4,4,3.6999999999999997,344,Loyal Customers
12458,71,4,1615.3,3,3,4,3.3499999999999996,334,Loyal Customers
12459,605,1,428.26,1,1,2,1.3499999999999999,112,Lost
12460,456,1,326.55,1,1,2,1.3499999999999999,112,Lost
12461,94,2,704.03,3,2,3,2.6499999999999995,323,Potential Loyalists
12462,19,2,1072.1399999999999,5,2,3,3.25,523,Recent Customers
12463,53,4,1320.38,4,3,4,3.65,434,Loyal Customers
12464,10,8,1199.2,5,4,4,4.3,544,Champions
12465,17,2,741.99,5,2,3,3.25,523,Recent Customers
12466,682,1,14.95,1,1,1,0.9999999999999999,111,Lost
12467,423,1,132.8,1,1,1,0.9999999999999999,111,Lost
12468,188,5,3599.78,3,4,5,4.05,345,Loyal Customers
12469,523,2,2629.9,1,2,4,2.4,124,Need Attention
12470,690,1,210.95,1,1,1,0.9999999999999999,111,Lost
12471,2,79,38701.3,5,5,5,5.0,555,Champions
12472,32,19,16013.82,4,5,5,4.7,455,Champions
12473,29,5,2911.79,4,4,5,4.35,445,Champions
12474,17,31,12159.75,5,5,5,5.0,555,Champions
12475,54,2,1165.39,4,2,3,2.9499999999999997,423,Recent Customers
12476,16,23,13738.01,5,5,5,5.0,555,Champions
12477,23,9,20273.97,4,5,5,4.7,455,Champions
12478,4,1,590.84,5,1,3,2.9,513,Recent Customers
12479,11,1,520.45,5,1,2,2.55,512,Recent Customers
12480,28,7,5116.29,4,4,5,4.35,445,Champions
12481,23,15,11752.71,4,5,5,4.7,455,Champions
12482,576,29,19447.86,1,5,5,3.8,155,At Risk
12483,17,19,4507.53,5,5,5,5.0,555,Champions
12484,33,12,5993.05,4,5,5,4.7,455,Champions
12485,529,1,710.5,1,1,3,1.6999999999999997,113,Hibernating
12486,432,1,958.13,1,1,3,1.6999999999999997,113,Hibernating
12487,731,1,285.3,1,1,2,1.3499999999999999,112,Lost
12488,10,3,1271.91,5,3,4,3.9499999999999997,534,Loyal Customers
12489,336,1,326.83,2,1,2,1.65,212,Hibernating
12490,5,21,9578.39,5,5,5,5.0,555,Champions
12491,39,1,454.3,4,1,2,2.25,412,Recent Customers
12492,63,3,696.91,3,3,3,2.9999999999999996,333,Loyal Customers
12493,166,2,422.59,3,2,2,2.3,322,Potential Loyalists
12494,16,9,1772.57,5,5,4,4.65,554,Champions
12495,641,1,307.3,1,1,2,1.3499999999999999,112,Lost
12496,620,2,45.34,1,2,1,1.35,121,Lost
12497,82,3,5321.4800000000005,3,3,5,3.6999999999999997,335,Loyal Customers
12498,21,3,394.55,4,3,2,2.95,432,Potential Loyalists
12499,560,1,387.62,1,1,2,1.3499999999999999,112,Lost
12500,23,19,5730.87,4,5,5,4.7,455,Champions
12501,337,1,2165.07,2,1,4,2.3499999999999996,214,Hibernating
12502,96,5,3368.57,3,4,5,4.05,345,Loyal Customers
12503,584,1,245.35,1,1,1,0.9999999999999999,111,Lost
12504,18,4,763.8,5,3,3,3.5999999999999996,533,Loyal Customers
12505,409,1,872.9,2,1,3,1.9999999999999998,213,Hibernating
12506,233,1,73.5,2,1,1,1.2999999999999998,211,Hibernating
12507,134,4,1687.46,3,3,4,3.3499999999999996,334,Loyal Customers
12508,26,2,398.88,4,2,2,2.5999999999999996,422,Recent Customers
12509,284,1,173.45,2,1,1,1.2999999999999998,211,Hibernating
12510,143,9,3542.83,3,5,5,4.4,355,Loyal Customers
12511,429,1,3083.5,1,1,5,2.4,115,Hibernating
12512,66,2,132.18,3,2,1,1.9499999999999997,321,Hibernating
12513,113,1,603.14,3,1,3,2.3,313,Hibernating
12514,267,2,1597.76,2,2,4,2.6999999999999997,224,Need Attention
12515,353,1,323.55,2,1,2,1.65,212,Hibernating
12516,78,4,2587.62,3,3,4,3.3499999999999996,334,Loyal Customers
12517,28,5,2451.1,4,4,4,3.9999999999999996,444,Champions
12518,1,5,2020.29,5,4,4,4.3,544,Champions
12519,64,2,701.29,3,2,3,2.6499999999999995,323,Potential Loyalists
12520,79,5,2583.46,3,4,4,3.6999999999999997,344,Loyal Customers
12521,143,1,590.53,3,1,3,2.3,313,Hibernating
12522,39,2,211.62,4,2,1,2.25,421,Recent Customers
12523,19,23,4282.35,5,5,5,5.0,555,Champions
12524,9,17,10810.21,5,5,5,5.0,555,Champions
12525,498,3,958.48,1,3,3,2.3999999999999995,133,At Risk
12526,1,3,1292.26,5,3,4,3.9499999999999997,534,Loyal Customers
12527,82,5,732.46,3,4,3,3.3499999999999996,343,Loyal Customers
12528,9,6,1882.68,5,4,4,4.3,544,Champions
12529,528,1,316.48,1,1,2,1.3499999999999999,112,Lost
12530,60,9,3617.61,3,5,5,4.4,355,Loyal Customers
12531,15,2,1890.75,5,2,4,3.6,524,Recent Customers
12532,30,1,343.73,4,1,2,2.25,412,Recent Customers
12533,628,2,1343.49,1,2,4,2.4,124,Need Attention
12534,131,1,1066.88,3,1,3,2.3,313,Hibernating
12535,92,2,716.35,3,2,3,2.6499999999999995,323,Potential Loyalists
12536,43,3,4299.21,4,3,5,4.0,435,Loyal Customers
12537,409,1,657.79,2,1,3,1.9999999999999998,213,Hibernating
12538,29,2,640.45,4,2,3,2.9499999999999997,423,Recent Customers
12539,22,7,11187.7,4,4,5,4.35,445,Champions
12540,20,33,20796.65,4,5,5,4.7,455,Champions
12541,30,3,915.93,4,3,3,3.3,433,Loyal Customers
12542,484,2,481.88,1,2,2,1.7,122,Need Attention
12543,448,1,915.0,1,1,3,1.6999999999999997,113,Hibernating
12544,36,1,346.6,4,1,2,2.25,412,Recent Customers
12545,75,2,922.09,3,2,3,2.6499999999999995,323,Potential Loyalists
12546,47,2,1112.57,4,2,3,2.9499999999999997,423,Recent Customers
12547,198,3,344.43,2,3,2,2.3499999999999996,232,Need Attention
12548,166,1,82.14999999999999,3,1,1,1.6,311,Promising
12549,576,6,1424.48,1,4,4,3.0999999999999996,144,At Risk
12550,79,1,901.98,3,1,3,2.3,313,Hibernating
12551,358,1,168.0,2,1,1,1.2999999999999998,211,Hibernating
12552,39,2,362.67,4,2,2,2.5999999999999996,422,Recent Customers
12553,8,12,4493.35,5,5,5,5.0,555,Champions
12554,449,1,429.35,1,1,2,1.3499999999999999,112,Lost
12555,682,1,14.95,1,1,1,0.9999999999999999,111,Lost
12556,50,2,599.56,4,2,3,2.9499999999999997,423,Recent Customers
12557,16,8,12089.880000000001,5,4,5,4.65,545,Champions
12558,8,1,269.96,5,1,1,2.2,511,Recent Customers
12559,311,2,555.61,2,2,2,1.9999999999999998,222,Need Attention
12560,5,3,2095.41,5,3,4,3.9499999999999997,534,Loyal Customers
12561,303,1,238.85,2,1,1,1.2999999999999998,211,Hibernating
12562,8,9,4859.42,5,5,5,5.0,555,Champions
12563,409,1,236.19,2,1,1,1.2999999999999998,211,Hibernating
12564,261,1,441.75,2,1,2,1.65,212,Hibernating
12565,289,1,145.92000000000002,2,1,1,1.2999999999999998,211,Hibernating
12566,86,1,342.5,3,1,2,1.95,312,Hibernating
12567,23,15,11409.630000000001,4,5,5,4.7,455,Champions
12568,645,1,66.95,1,1,1,0.9999999999999999,111,Lost
12569,2,32,3959.9900000000002,5,5,5,5.0,555,Champions
12570,682,1,14.95,1,1,1,0.9999999999999999,111,Lost
12571,40,2,523.21,4,2,2,2.5999999999999996,422,Recent Customers
12572,9,2,1002.87,5,2,3,3.25,523,Recent Customers
12573,227,5,719.33,2,4,3,3.05,243,At Risk
12574,316,1,212.35000000000002,2,1,1,1.2999999999999998,211,Hibernating
12575,457,2,613.67,1,2,3,2.05,123,Need Attention
